External ID,Issue Type,Summary,Description,Epic Name,Epic Ref,Epic Link,Parent External ID,Priority,Story Points,Sprint,Component,Labels,Depends On,Acceptance Criteria,Owner Role,Fix Version
EP-01,Epic,Platform Foundations & DevEx,"Repo, standards, CI baseline, environments, secrets, coding conventions.",Platform Foundations & DevEx,EP-01,,,Critical,,Sprint 0-1,Platform,"epic,ep-01",,"Epic outcome achieved: Repo, standards, CI baseline, environments, secrets, coding conventions.",Platform,Release 1
EP-02,Epic,"Identity, Auth & Policy","Tenant auth, workload tokens, RBAC, policy bundles, audit hooks.","Identity, Auth & Policy",EP-02,,,Critical,,Sprint 1-3,Security,"epic,ep-02",,"Epic outcome achieved: Tenant auth, workload tokens, RBAC, policy bundles, audit hooks.",Security,Release 1
EP-03,Epic,Control Plane Core,"API Gateway, Supervisor, Planner, run lifecycle, run state.",Control Plane Core,EP-03,,,Critical,,Sprint 1-4,Backend,"epic,ep-03",,"Epic outcome achieved: API Gateway, Supervisor, Planner, run lifecycle, run state.",Backend,Release 1
EP-04,Epic,Knowledge Plane,"Retrieval, artifact catalog, episodic memory, indexing.",Knowledge Plane,EP-04,,,High,,Sprint 2-5,ML Platform,"epic,ep-04",,"Epic outcome achieved: Retrieval, artifact catalog, episodic memory, indexing.",ML Platform,Release 1
EP-05,Epic,Execution Plane,"Swarm scheduling, runtime manager, sandbox executor, result aggregation.",Execution Plane,EP-05,,,Critical,,Sprint 3-6,Platform,"epic,ep-05",,"Epic outcome achieved: Swarm scheduling, runtime manager, sandbox executor, result aggregation.",Platform,Release 1
EP-06,Epic,Model & Tool Access,"Model gateway, tool broker, usage policy, quota enforcement.",Model & Tool Access,EP-06,,,Critical,,Sprint 3-6,Platform,"epic,ep-06",,"Epic outcome achieved: Model gateway, tool broker, usage policy, quota enforcement.",Platform,Release 1
EP-07,Epic,Evaluation & Simulation,"Benchmarking, replay, simulation, quality evidence.",Evaluation & Simulation,EP-07,,,High,,Sprint 5-8,ML Eng,"epic,ep-07",,"Epic outcome achieved: Benchmarking, replay, simulation, quality evidence.",ML Eng,Release 1
EP-08,Epic,"Release, Deployment & Environments","Artifact signing, release manager, canary, rollback.","Release, Deployment & Environments",EP-08,,,High,,Sprint 6-9,DevOps,"epic,ep-08",,"Epic outcome achieved: Artifact signing, release manager, canary, rollback.",DevOps,Release 1
EP-09,Epic,Observability & Audit,"Metrics, logs, traces, audit ledger, dashboards.",Observability & Audit,EP-09,,,Critical,,Sprint 2-8,SRE,"epic,ep-09",,"Epic outcome achieved: Metrics, logs, traces, audit ledger, dashboards.",SRE,Release 1
EP-10,Epic,Studio & Workflow UI,"Brief builder, architecture compare, evaluation lab, release center.",Studio & Workflow UI,EP-10,,,High,,Sprint 4-10,Frontend,"epic,ep-10",,"Epic outcome achieved: Brief builder, architecture compare, evaluation lab, release center.",Frontend,Release 1
EP-11,Epic,Governance & Executive UX,"Approvals, incidents, audit view, executive portfolio.",Governance & Executive UX,EP-11,,,Medium,,Sprint 8-10,Frontend,"epic,ep-11",,"Epic outcome achieved: Approvals, incidents, audit view, executive portfolio.",Frontend,Release 1
EP-12,Epic,"Hardening, Performance & Launch","Load tests, threat model remediation, cutover, runbooks.","Hardening, Performance & Launch",EP-12,,,Critical,,Sprint 10-12,Cross-functional,"epic,ep-12",,"Epic outcome achieved: Load tests, threat model remediation, cutover, runbooks.",Cross-functional,Release 1
EP-01-ST-01,Story,Platform Foundations & DevEx: Define contract and ADRs,"Create detailed contracts, ADRs, and coding conventions for the area.",,EP-01,EP-01,,Critical,3,Sprint 0,Platform,"story,ep-01,platform",,"Given Platform Foundations & DevEx, when define contract and adrs, then the deliverable is reviewed, tested, and demoable against the contract pack.",Tech Lead,Release 1
EP-01-ST-02,Story,Platform Foundations & DevEx: Implement service skeleton,"Create service repository/module, health checks, config, and CI integration.",,EP-01,EP-01,,Critical,5,Sprint 0,Platform,"story,ep-01,platform",,"Given Platform Foundations & DevEx, when implement service skeleton, then the deliverable is reviewed, tested, and demoable against the contract pack.",Tech Lead,Release 1
EP-01-ST-03,Story,Platform Foundations & DevEx: Implement primary endpoint or worker flow,Deliver the main functional path with tests and tracing.,,EP-01,EP-01,,Critical,8,Sprint 0,Platform,"story,ep-01,platform",,"Given Platform Foundations & DevEx, when implement primary endpoint or worker flow, then the deliverable is reviewed, tested, and demoable against the contract pack.",Tech Lead,Release 1
EP-01-ST-04,Story,"Platform Foundations & DevEx: Add policy, validation, and error handling","Add guardrails, validation, and standard error envelope behavior.",,EP-01,EP-01,,Critical,5,Sprint 0,Platform,"story,ep-01,platform",,"Given Platform Foundations & DevEx, when add policy, validation, and error handling, then the deliverable is reviewed, tested, and demoable against the contract pack.",Tech Lead,Release 1
EP-01-ST-05,Story,Platform Foundations & DevEx: Add observability and audit hooks,"Emit logs, traces, metrics, and audit events for the area.",,EP-01,EP-01,,Critical,3,Sprint 0,Platform,"story,ep-01,platform",,"Given Platform Foundations & DevEx, when add observability and audit hooks, then the deliverable is reviewed, tested, and demoable against the contract pack.",Tech Lead,Release 1
EP-01-ST-06,Story,Platform Foundations & DevEx: Integration and demo readiness,Integrate with dependent services and provide demo evidence.,,EP-01,EP-01,,Critical,5,Sprint 0,Platform,"story,ep-01,platform",,"Given Platform Foundations & DevEx, when integration and demo readiness, then the deliverable is reviewed, tested, and demoable against the contract pack.",Tech Lead,Release 1
EP-01-TS-01,Task,Platform Foundations & DevEx: Test automation,"Add unit, integration, and contract tests.",,EP-01,EP-01,EP-01-ST-03,High,3,Sprint 0,Platform,"task,qa,ep-01",EP-01-ST-03,Automated tests pass in CI for the scoped area.,QA Engineer,Release 1
EP-01-TS-02,Task,Platform Foundations & DevEx: Documentation,"Write service README, runbook, and handoff notes.",,EP-01,EP-01,EP-01-ST-03,Medium,2,Sprint 0,Platform,"task,docs,ep-01",EP-01-ST-03,Documentation is complete and reviewed.,Tech Writer,Release 1
EP-02-ST-01,Story,"Identity, Auth & Policy: Define contract and ADRs","Create detailed contracts, ADRs, and coding conventions for the area.",,EP-02,EP-02,,Critical,3,Sprint 1,Security,"story,ep-02,security",EP-01,"Given Identity, Auth & Policy, when define contract and adrs, then the deliverable is reviewed, tested, and demoable against the contract pack.",Security Engineer,Release 1
EP-02-ST-02,Story,"Identity, Auth & Policy: Implement service skeleton","Create service repository/module, health checks, config, and CI integration.",,EP-02,EP-02,,Critical,5,Sprint 1,Security,"story,ep-02,security",EP-01,"Given Identity, Auth & Policy, when implement service skeleton, then the deliverable is reviewed, tested, and demoable against the contract pack.",Security Engineer,Release 1
